40,2003_IRS,Tax returns by zip code,Tax,Tax,2003,Zip/City/County,State,IRS,Excel,G:\Source Data\BrookingsInstitution\IRS_1997to2005
41,2004_IRS,Tax returns by zip code,Tax,Tax,2004,Zip/City/County,State,IRS,Excel,G:\Source Data\BrookingsInstitution\IRS_1997to2005
42,2005_IRS,Tax returns by zip code,Tax,Tax,2005,Zip/City/County,State,IRS,Excel,G:\Source Data\BrookingsInstitution\IRS_1997to2005
43,2006_IRS,Tax returns by zip code,Tax,Tax,2006,Zip/City/County,State,IRS,Excel,G:\Source Data\BrookingsInstitution\IRS_1997to2005
44,2007_IRS,Tax returns by zip code,Tax,Tax,2007,Zip/City/County,State,IRS,Excel,G:\Source Data\BrookingsInstitution\IRS_1997to2005
45,20062007bilingualschool,List of bilingual schools,Education,School type,2006-2007,School,State,CDE,Excel,G:\Source Data\CDE
46,CDE Data Request Form 2011,Form request for data,Data request,,2011,School,State,CDE,Word,G:\Source Data\CDE
47,CDE Data Request Form 2011_CSAPforGrowthModel,Filled out data request form,Data request,,2011,School,State,CDE,Word,G:\Source Data\CDE
48,3-Year Point Change Syntax,,Education,School performance,,School,State,CDE,SPS,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
49,2004-2005 3rd Grade CSAP Escritura,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
50,2004-2005 3rd Grade CSAP Lectura,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
51,2004-2005 3rd Grade CSAP Math,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
52,2004-2005 3rd Grade CSAP Reading,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
53,2004-2005 3rd Grade CSAP Writing,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
54,2004-2005 4th Grade CSAP Escritura,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
55,2004-2005 4th Grade CSAP Lectura,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
56,2004-2005 4th Grade CSAP Math,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
57,2004-2005 4th Grade CSAP Reading,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
58,2004-2005 4th Grade CSAP Writing,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
59,2004-2005 5th Grade CSAP Math,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
60,2004-2005 5th Grade CSAP Reading,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
61,2004-2005 5th Grade CSAP Writing,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
62,2004-2005 6th Grade CSAP Math,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
63,2004-2005 6th Grade CSAP Reading,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
64,2004-2005 6th Grade CSAP Writing,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
65,2004-2005 7th Grade CSAP Math,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
66,2004-2005 7th Grade CSAP Reading,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
67,2004-2005 7th Grade CSAP Writing,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
68,2004-2005 8th Grade CSAP Math,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
69,2004-2005 8th Grade CSAP Reading,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
70,2004-2005 8th Grade CSAP Science,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
71,2004-2005 8th Grade CSAP Writing,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
72,2004-2005 9th Grade CSAP Math,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
73,2004-2005 9th Grade CSAP Reading,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
74,2004-2005 9th Grade CSAP Writing,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
75,2004-2005 10th Grade CSAP Math,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
76,2004-2005 10th Grade CSAP Reading,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
77,2004-2005 10th Grade CSAP Writing,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
78,2004-2005 ACT,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
79,2004-2005 CSAP and ACT - 2 Elementary,,Education,School performance,2004-2005,School,State,CDE,DBF,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
80,2004-2005 CSAP and ACT - 2 Elementary,,Education,School performance,2004-2005,School,State,CDE,IND,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
81,2004-2005 CSAP and ACT - 2 Elementary,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
82,2004-2005 CSAP and ACT - 2 Elementary,,Education,School performance,2004-2005,School,State,CDE,TAB,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
83,2004-2005 CSAP and ACT - 2 High,,Education,School performance,2004-2005,School,State,CDE,DBF,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
84,2004-2005 CSAP and ACT - 2 High,,Education,School performance,2004-2005,School,State,CDE,IND,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
85,2004-2005 CSAP and ACT - 2 High,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
86,2004-2005 CSAP and ACT - 2 High,,Education,School performance,2004-2005,School,State,CDE,TAB,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
87,2004-2005 CSAP and ACT - 2 Middle,,Education,School performance,2004-2005,School,State,CDE,DBF,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
88,2004-2005 CSAP and ACT - 2 Middle,,Education,School performance,2004-2005,School,State,CDE,IND,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
89,2004-2005 CSAP and ACT - 2 Middle,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
90,2004-2005 CSAP and ACT - 2 Middle,,Education,School performance,2004-2005,School,State,CDE,TAB,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
91,2004-2005 CSAP and ACT - 2,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
92,2004-2005 CSAP and ACT for Web - 2,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
93,2004-2005 CSAP and ACT for Web - 2,,Education,School performance,2004-2005,School,State,CDE,Excel,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
94,2004-2005 CSAP and ACT for Web - 2-1,,Education,School performance,2004-2005,School,State,CDE,TXT,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
95,2004-2005 CSAP and ACT for Web - 2-1,,Education,School performance,2004-2005,School,State,CDE,Excel,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
96,2004-2005 CSAP and ACT for Web - 2-2,,Education,School performance,2004-2005,School,State,CDE,TXT,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
97,2004-2005 CSAP and ACT for Web - 2-2,,Education,School performance,2004-2005,School,State,CDE,Excel,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
98,2004-2005 CSAP and ACT for Web - 2-3,,Education,School performance,2004-2005,School,State,CDE,TXT,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
99,2004-2005 CSAP and ACT for Web - 2-3,,Education,School performance,2004-2005,School,State,CDE,Excel,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
100,2004-2005 CSAP and ACT for Web,,Education,School performance,2004-2005,School,State,CDE,DBF,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
101,2004-2005 CSAP and ACT for Web,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
102,2004-2005 CSAP and ACT for Web,,Education,School performance,2004-2005,School,State,CDE,Excel,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
103,2004-2005 CSAP and ACT,,Education,School performance,2004-2005,School,State,CDE,DBF,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
104,2004-2005 CSAP and ACT,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
105,2004-2005 CSAP Escritura,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
106,2004-2005 CSAP Lectura,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
107,2004-2005 CSAP Math,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
108,2004-2005 CSAP Reading,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
109,2004-2005 CSAP Science,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
110,2004-2005 CSAP Writing,,Education,School performance,2004-2005,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
111,COACT05_EDboard_072605 - Denver,,Education,School performance,2005,School,State,CDE,Excel,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
112,COACT05_EDboard_072605,,Education,School performance,2005,School,State,CDE,Excel,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
113,CSAP 02-03 Proficient and Advanced,,Education,School performance,2002-2003,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
114,CSAP05_EDboard_072605 - Denver,,Education,School performance,2005,School,State,CDE,Excel,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
115,CSAP05_EDboard_072605,,Education,School performance,2005,School,State,CDE,Excel,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
116,Re-Calculate Percentages,,Education,School performance,,School,State,CDE,SPS,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
117,School Key,,Education,School performance,,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
118,School_080105,,Education,School performance,,School,State,CDE,SAV,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
119,Select Cases Escritura,,Education,School performance,,School,State,CDE,SPS,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
120,Select Cases,,Education,School performance,,School,State,CDE,SPS,G:\Source Data\CDE\04-05 CSAP from CDE\Pre-Release
121,CSAP0405_5G_Read,,Education,School performance,2004-2005,School,State,CDE,DBF,G:\Source Data\CDE\04-05 CSAP from CDE
122,CSAP0405_5G_Read.SCH_NUM,,Education,School performance,2004-2005,School,State,CDE,ATX,G:\Source Data\CDE\04-05 CSAP from CDE
123,2008_DS_COACT,,Education,School performance,2008,School,State,CDE,PDF spreadsheet,G:\Source Data\CDE\ACT
124,2008_ST_COACT,State ACT report,Education,School performance,2008,State,State,CDE,PDF spreadsheet,G:\Source Data\CDE\ACT
125,2009_COACT_DS,School ACT report,Education,School performance,2009,School,State,CDE,Excel,G:\Source Data\CDE\ACT
126,2010_COACT_DS,School ACT report,Education,School performance,2010,School,State,CDE,Excel,G:\Source Data\CDE\ACT
127,ACT_SDSum,School ACT report,Education,School performance,,School,State,CDE,PDF spreadsheet,G:\Source Data\CDE\ACT
128,ACT_SDSum,School ACT report,Education,School performance,,School,State,CDE,Excel,G:\Source Data\CDE\ACT
129,COACT05_EDboard_072605,School ACT report,Education,School performance,2005,School,State,CDE,PDF spreadsheet,G:\Source Data\CDE\ACT
130,COACT05_EDboard_072605,School ACT report,Education,School performance,2005,School,State,CDE,Excel,G:\Source Data\CDE\ACT
